Hotel,Locality,Downtown(km),Rating,Price(₹),Link
Hotel O SAINIK GUEST HOUSE,Chandīgarh,5.3 km from downtown,8.4,1905,https://www.booking.com/hotel/in/o-sainik-guest-house.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600081&all_sr_blocks=1407050603_412480026_2_0_0&highlighted_blocks=1407050603_412480026_2_0_0&matching_block_id=1407050603_412480026_2_0_0&sr_pri_blocks=1407050603_412480026_2_0_0__190506&from=searchresults
JW Marriott Hotel Chandigarh,Chandīgarh,2.3 km from downtown,8.1,10500,https://www.booking.com/hotel/in/jw-marriott-chandigarh.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600081&all_sr_blocks=29905701_156441466_2_42_0&highlighted_blocks=29905701_156441466_2_42_0&matching_block_id=29905701_156441466_2_42_0&sr_pri_blocks=29905701_156441466_2_42_0__1050000&from=searchresults
Hotel Rajshree & Spa,Chandīgarh,3.9 km from downtown,7.3,3095,https://www.booking.com/hotel/in/rajshree.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600081&all_sr_blocks=54022601_410740804_2_42_0_591707&highlighted_blocks=54022601_410740804_2_42_0_591707&matching_block_id=54022601_410740804_2_42_0_591707&sr_pri_blocks=54022601_410740804_2_42_0_591707_309528&from=searchresults
Hotel The Pearl Grand - Top Rated ! Most Awarded ! Parking ! Lift ! Luxury Rooms ! Best Selling,Chandīgarh,10.1 km from downtown,6.5,1665,https://www.booking.com/hotel/in/sohan-guest-house.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600081&all_sr_blocks=1108102501_383717636_2_0_0&highlighted_blocks=1108102501_383717636_2_0_0&matching_block_id=1108102501_383717636_2_0_0&sr_pri_blocks=1108102501_383717636_2_0_0__166500&from=searchresults
Mercure Chandigarh Tribune Chowk,Chandīgarh,4.1 km from downtown,7.4,7125,https://www.booking.com/hotel/in/mercure-chandigarh-tribune-chowk.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600081&all_sr_blocks=62853909_88885372_2_42_0&highlighted_blocks=62853909_88885372_2_42_0&matching_block_id=62853909_88885372_2_42_0&sr_pri_blocks=62853909_88885372_2_42_0__712500&from=searchresults
The Lalit Chandigarh,Chandīgarh,5.2 km from downtown,8.0,9429,https://www.booking.com/hotel/in/the-lalit-chandigarh.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600081&all_sr_blocks=84221702_402861603_2_41_0_228770&highlighted_blocks=84221702_402861603_2_41_0_228770&matching_block_id=84221702_402861603_2_41_0_228770&sr_pri_blocks=84221702_402861603_2_41_0_228770_942918&from=searchresults
Hotel kb Square Near Chandigarh Railway Station,Chandīgarh,5.2 km from downtown,8.0,1100,https://www.booking.com/hotel/in/kb-square-chandigarh12345678910111213141516171819202122.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600081&all_sr_blocks=792187701_339003581_2_42_0&highlighted_blocks=792187701_339003581_2_42_0&matching_block_id=792187701_339003581_2_42_0&sr_pri_blocks=792187701_339003581_2_42_0__110000&from=searchresults
Park Plaza Chandigarh Zirakpur,Chandīgarh,11.5 km from downtown,7.2,5850,https://www.booking.com/hotel/in/park-plaza-zirakpur.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600081&all_sr_blocks=101711001_93772904_2_42_0&highlighted_blocks=101711001_93772904_2_42_0&matching_block_id=101711001_93772904_2_42_0&sr_pri_blocks=101711001_93772904_2_42_0__585000&from=searchresults
Hotel Woodlark Zirakpur Chandigarh !! Top Rated & Most Awarded Properties in Tricity !!,Chandīgarh,10.5 km from downtown,9.3,1620,https://www.booking.com/hotel/in/jai-durg.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600081&all_sr_blocks=1178167802_390326419_3_0_0&highlighted_blocks=1178167802_390326419_3_0_0&matching_block_id=1178167802_390326419_3_0_0&sr_pri_blocks=1178167802_390326419_3_0_0__162000&from=searchresults
Holiday Inn Chandigarh ZKP by IHG,Chandīgarh,11.4 km from downtown,8.3,5106,https://www.booking.com/hotel/in/holiday-inn-chandigarh-zirakpur.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600081&all_sr_blocks=699814207_288352346_2_34_0&highlighted_blocks=699814207_288352346_2_34_0&matching_block_id=699814207_288352346_2_34_0&sr_pri_blocks=699814207_288352346_2_34_0__510570&from=searchresults
Hotel Casa,Chandīgarh,8.5 km from downtown,6.1,1840,https://www.booking.com/hotel/in/casa-sahibzada-ajit-singh-nagar.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600081&all_sr_blocks=754147501_332090838_2_0_0&highlighted_blocks=754147501_332090838_2_0_0&matching_block_id=754147501_332090838_2_0_0&sr_pri_blocks=754147501_332090838_2_0_0__184000&from=searchresults
Regenta Central Cassia Zirakpur Chandigarh,Chandīgarh,10.1 km from downtown,7.7,4950,https://www.booking.com/hotel/in/regenta-central-cassia-zirakpur-chandigarh.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600081&all_sr_blocks=486984701_329063159_2_42_0_660213&highlighted_blocks=486984701_329063159_2_42_0_660213&matching_block_id=486984701_329063159_2_42_0_660213&sr_pri_blocks=486984701_329063159_2_42_0_660213_495000&from=searchresults
Lemon Tree Hotel Chandigarh,Chandīgarh,3.8 km from downtown,6.8,7231,https://www.booking.com/hotel/in/lemon-tree-chandigarh.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600081&all_sr_blocks=35501405_371632924_2_34_0&highlighted_blocks=35501405_371632924_2_34_0&matching_block_id=35501405_371632924_2_34_0&sr_pri_blocks=35501405_371632924_2_34_0__723100&from=searchresults
Staywell360,Chandīgarh,5 km from downtown,9.5,810,https://www.booking.com/hotel/in/staywell360.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600081&all_sr_blocks=961267603_368751677_2_2_0&highlighted_blocks=961267603_368751677_2_2_0&matching_block_id=961267603_368751677_2_2_0&sr_pri_blocks=961267603_368751677_2_2_0__81000&from=searchresults
Wyndham Chandigarh Mohali,Chandīgarh,7.8 km from downtown,8.6,12000,https://www.booking.com/hotel/in/wyndham-chandigarh-mohali.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600081&all_sr_blocks=790242604_338735142_2_42_0&highlighted_blocks=790242604_338735142_2_42_0&matching_block_id=790242604_338735142_2_42_0&sr_pri_blocks=790242604_338735142_2_42_0__1200000&from=searchresults
The Fern Residency - Chandigarh,Chandīgarh,4 km from downtown,7.2,5200,https://www.booking.com/hotel/in/the-fern-residency-chandigarh.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600078&all_sr_blocks=35225104_200888756_0_1_0&highlighted_blocks=35225104_200888756_0_1_0&matching_block_id=35225104_200888756_0_1_0&sr_pri_blocks=35225104_200888756_0_1_0__520000&from=searchresults
Hotel Lake View Chandigarh,Chandīgarh,4.2 km from downtown,6.9,1650,https://www.booking.com/hotel/in/lake-view-chandigarh.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600078&all_sr_blocks=1207493401_392940181_2_2_0_466167&highlighted_blocks=1207493401_392940181_2_2_0_466167&matching_block_id=1207493401_392940181_2_2_0_466167&sr_pri_blocks=1207493401_392940181_2_2_0_466167_165000&from=searchresults
Anchorage 42,Chandīgarh,1.6 km from downtown,9.4,7000,https://www.booking.com/hotel/in/anchorage-42.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600078&all_sr_blocks=947296603_373810997_2_1_0&highlighted_blocks=947296603_373810997_2_1_0&matching_block_id=947296603_373810997_2_1_0&sr_pri_blocks=947296603_373810997_2_1_0__700000&from=searchresults
JB Residency Zirakpur Chandigarh !! Family Rooms ! lift ! Balcony ! Banquet ! Parking ! Top Rated & Most Awarded,Chandīgarh,1.9 km from downtown,9.0,2720,https://www.booking.com/hotel/in/rohila-stay-amp-cafe.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600078&all_sr_blocks=1398593201_411725663_2_0_0&highlighted_blocks=1398593201_411725663_2_0_0&matching_block_id=1398593201_411725663_2_0_0&sr_pri_blocks=1398593201_411725663_2_0_0__272000&from=searchresults
Treebo Bombay Palace,Chandīgarh,6 km from downtown,6.5,1837,https://www.booking.com/hotel/in/bombay-palace-chandigarh.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600078&all_sr_blocks=136963503_399277645_2_1_0&highlighted_blocks=136963503_399277645_2_1_0&matching_block_id=136963503_399277645_2_1_0&sr_pri_blocks=136963503_399277645_2_1_0__183703&from=searchresults
Treebo JD Residency Mohali,Chandīgarh,8.1 km from downtown,6.5,1937,https://www.booking.com/hotel/in/oyo-10540-jd-residency.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600078&all_sr_blocks=311610402_397215007_2_1_0_473508&highlighted_blocks=311610402_397215007_2_1_0_473508&matching_block_id=311610402_397215007_2_1_0_473508&sr_pri_blocks=311610402_397215007_2_1_0_473508_193710&from=searchresults
HOTEL Royal Plaza,Chandīgarh,5.1 km from downtown,5.9,949,https://www.booking.com/hotel/in/royal-plaza-chandigarh2.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-16&checkout=2025-05-17&dest_id=-2092770&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=popularity&srpvid=accc2f03d13f0307&srepoch=1746600078&all_sr_blocks=897768801_360436427_2_1_0&highlighted_blocks=897768801_360436427_2_1_0&matching_block_id=897768801_360436427_2_1_0&sr_pri_blocks=897768801_360436427_2_1_0__94905&from=searchresults
